model,price,year,mileage,vol_engine,Power
147,9609.959183673469,2006.5714285714287,183155.14285714287,1716.2857142857142,118.87755102040816
159,18257.364130434784,2007.945652173913,230847.3260869565,2017.0108695652175,158.55978260869566
2,28927.71770334928,2011.846889952153,130943.67464114832,1413.267942583732,85.54066985645933
2008,61671.74336283186,2016.8738938053098,80460.69690265486,1298.725663716814,106.1924778761062
206,8078.824561403509,2006.5964912280701,164064.91228070174,1408.6842105263158,80.94736842105263
207,13373.15243902439,2008.4715447154472,169746.61585365853,1456.9837398373984,95.76626016260163
208,45478.26369168357,2016.8640973630831,73352.25963488844,1253.578093306288,93.04259634888439
3,47917.57256778309,2013.5199362041467,120137.16905901117,1869.4848484848485,130.7097288676236
3008,79855.31979030144,2015.8007863695937,120106.57273918742,1594.4927916120578,140.435124508519
300C,39528.56363636364,2009.290909090909,203625.9090909091,3707.018181818182,265.25454545454545
307,10219.852564102564,2006.025641025641,219240.75,1647.923076923077,111.09615384615384
308,43697.89210019268,2014.7658959537573,140441.45761078998,1540.7928709055877,122.52408477842003
3gt,111582.3018018018,2017.027027027027,111066.00450450451,2008.981981981982,185.25225225225225
407,12715.35,2006.7545454545455,229373.03181818183,1970.8227272727272,138.09545454545454
5,20670.251184834124,2008.7109004739336,193526.58293838863,1908.568720379147,130.8388625592417
500,48249.081027667984,2015.5415019762845,70587.16600790514,1024.9703557312253,80.94268774703558
5008,68566.5025,2014.85,158285.41,1703.8375,141.2225
500l,42348.87777777778,2015.2666666666667,95466.1,1344.7333333333333,102.18888888888888
500x,59282.1746031746,2016.952380952381,62634.74603174603,1487.5396825396826,127.47619047619048
508,64991.55400696864,2015.1602787456445,154869.13704994193,1802.8989547038327,153.9965156794425
5gt,79222.19047619047,2011.984126984127,221165.7619047619,2909.253968253968,267.85714285714283
6,52381.83273164862,2012.8543922984356,157809.1263537906,2109.309265944645,159.31407942238266
911,572121.6033057851,2014.8842975206612,53222.884297520664,3453.396694214876,438.11570247933884
Cayenne,231162.6692913386,2013.5013123359581,148609.656167979,3718.8477690288714,360.9212598425197
Cayman,138376.84615384616,2010.7692307692307,103845.0,2913.153846153846,285.38461538461536
Forester,60894.443478260866,2012.4782608695652,160264.7,2050.278260869565,173.5391304347826
GS,90177.57142857143,2011.9761904761904,169913.9880952381,2988.8571428571427,269.75
Grand-Voyager,25671.272727272728,2007.909090909091,238573.13636363635,3029.818181818182,167.0
IS,79441.58914728682,2012.6666666666667,135904.53488372092,2417.813953488372,224.45736434108528
Impreza,41508.32530120482,2009.6506024096386,156872.18072289156,2070.89156626506,182.87951807228916
LS,183620.29333333333,2012.4266666666667,156116.4,4276.093333333333,372.6
Legacy,25537.596153846152,2009.0,218136.53846153847,2161.1826923076924,163.79807692307693
Model-3,203824.65625,2020.1875,31009.21875,0.0,396.59375
Model-S,201986.09677419355,2015.967741935484,129574.93548387097,0.0,449.3225806451613
Model-X,309898.06666666665,2017.9333333333334,71925.53333333334,0.0,507.06666666666666
NX,149701.29834254144,2017.6187845303868,68772.29281767955,2211.767955801105,208.58011049723757
Outback,75898.6724137931,2013.6293103448277,154213.6551724138,2534.75,182.27586206896552
Pacifica,128192.19672131147,2018.188524590164,72909.86885245901,3605.188524590164,286.9016393442623
Panamera,361483.89497716894,2015.7945205479452,98565.87671232877,3844.1917808219177,421.1506849315069
RC,165467.40625,2016.84375,66067.40625,3080.34375,325.25
RX,168415.9189189189,2015.2432432432433,110807.57432432432,2999.9594594594596,251.22972972972974
Taycan,700346.234375,2021.34375,4231.921875,0.0,592.3125
UX,152871.59375,2020.3125,17416.78125,1987.0,167.875
Voyager,11816.0,2006.1333333333334,260818.53333333333,2602.6666666666665,147.8
WRX,134138.86666666667,2015.8666666666666,75598.76666666666,2420.6,299.6666666666667
XV,86879.1746031746,2017.3015873015872,76624.15873015873,1913.873015873016,143.11111111111111
a-klasa,94375.34019204389,2014.6104252400548,103600.69958847736,1702.9355281207133,165.86556927297667
a1,67485.21875,2015.8515625,86630.15625,1305.5390625,111.609375
a3,50333.18629407851,2011.6407185628743,171717.39654025284,1738.8176979374584,135.7564870259481
a4,68022.19812030075,2012.3575187969925,181926.5120300752,1998.7233082706766,166.66654135338345
a4-allroad,143892.14375,2017.01875,111622.875,2035.5375,205.18125
a5,115941.62602459016,2014.907786885246,132713.5737704918,2130.4784836065573,202.9969262295082
a6,144090.2946902655,2015.1097345132744,143238.90619469027,2363.905309734513,220.16637168141594
accord,36185.78965517241,2009.1758620689654,206147.87931034484,2126.7241379310344,166.42758620689656
adam,32512.285714285714,2014.968253968254,88066.60317460318,1310.3968253968253,85.07936507936508
agila,14018.808510638299,2008.8936170212767,143728.31914893616,1116.7021276595744,74.44680851063829
alhambra,57180.50793650794,2012.3015873015872,199593.99206349207,1878.2539682539682,147.79365079365078
almera,7121.111111111111,2005.3333333333333,209135.33333333334,1497.0,98.0
altea,17848.090909090908,2007.7792207792209,195310.37662337662,1653.9415584415585,111.77922077922078
altea-xl,20967.91390728477,2009.158940397351,204254.33774834438,1723.2847682119204,120.94039735099338
amarok,119115.46875,2014.59375,155630.59375,2313.40625,186.75
amg-gt,589995.546875,2019.453125,30284.875,3505.859375,481.546875
ampera,85033.42857142857,2015.857142857143,93678.28571428571,941.7142857142857,162.57142857142858
antara,28884.2109375,2009.109375,191977.0078125,2145.140625,154.890625
arkana,140242.9375,2021.6328125,710.28125,1419.9140625,137.25
arona,88102.78205128205,2019.7564102564102,32954.570512820515,1063.6602564102564,110.03205128205128
arteon,185886.03131991051,2020.2080536912752,43086.74049217002,1919.0738255033557,195.0917225950783
astra,33562.40577385726,2012.5004009623096,158457.7064955894,1549.9077786688051,124.38171611868485
asx,52419.65579710145,2014.358695652174,125900.51449275362,1708.3260869565217,128.43115942028984
ateca,136840.01069518717,2020.3155080213903,34533.85561497326,1628.0,157.3048128342246
auris,47000.319107662464,2013.6857419980602,140349.29970902036,1584.184287099903,113.28806983511154
avensis,43736.865795724465,2012.0688836104514,181345.81828978623,1920.3266033254156,139.31710213776722
aveo,14912.17679558011,2010.0386740331492,132653.55248618784,1260.8950276243095,86.34254143646409
aygo,34868.078167115906,2015.4285714285713,75637.29649595688,1002.3584905660377,70.04582210242587
b-klasa,44827.37971014493,2011.1855072463768,164686.37971014492,1760.3942028985507,124.49565217391304
b-max,31448.705263157895,2013.8105263157895,118416.14736842105,1242.2631578947369,99.28421052631579
beetle,48649.39215686275,2014.0196078431372,119749.80392156863,1733.3529411764705,136.37254901960785
berlingo,38012.19749216301,2013.062695924765,171674.64576802508,1536.692789968652,98.82758620689656
bravo,17026.752032520326,2008.7764227642276,191216.13821138212,1529.6097560975609,117.1951219512195
c-hr,111153.77142857143,2019.320634920635,37701.39682539683,1705.815873015873,121.27936507936508
c-klasa,99744.94660894662,2013.1789321789322,150133.4797979798,2203.8679653679656,202.33477633477634
c-max,29400.43021032505,2011.4493307839389,172785.87189292544,1590.4435946462715,122.02485659655832
c3-aircross,76299.47368421052,2020.0210526315789,26922.43157894737,1238.821052631579,109.62105263157895
c3-picasso,22180.65873015873,2011.3333333333333,150169.46825396825,1481.8095238095239,101.18253968253968
c30,19832.11111111111,2008.515873015873,208032.59523809524,1728.1031746031747,122.2936507936508
c4-cactus,43424.75396825397,2016.2777777777778,94086.6507936508,1299.7301587301588,95.26984126984127
c4-grand-picasso,31532.036734693876,2011.6408163265305,192855.24489795917,1749.277551020408,131.9061224489796
c4-picasso,29429.67238095238,2011.7561904761906,182165.62666666668,1652.7904761904763,124.08
c5,27907.683686176835,2010.4022415940224,212836.98381070985,1949.1444582814445,147.6450809464508
c5-aircross,140264.679245283,2021.0503144654087,17608.64150943396,1481.7106918238994,150.73584905660377
caddy,72967.49874055416,2015.4256926952141,154176.21662468513,1776.7657430730478,103.66750629722922
california,357493.68,2021.696,6097.008,1939.456,170.112
camaro,116117.36363636363,2016.0495867768595,84573.61157024793,4432.231404958678,370.7107438016529
camry,114404.24137931035,2018.3620689655172,60241.793103448275,2477.7413793103447,183.5
captur,58916.658969804615,2017.1722912966252,63017.98046181172,1135.3445825932504,103.25044404973357
caravelle,125142.69135802469,2014.679012345679,190642.19753086418,2051.641975308642,150.97530864197532
carens,32198.116666666665,2011.6166666666666,168160.09166666667,1808.025,134.75
cc,52162.357142857145,2012.8492063492063,172099.11111111112,1931.063492063492,177.11111111111111
ceed,46451.28084252758,2014.6589769307923,130159.15747241725,1487.60481444333,118.40421263791374
citan,111728.20634920635,2019.4444444444443,47071.36507936508,1426.015873015873,104.14285714285714
citigo,31324.698924731183,2016.3548387096773,87452.37096774194,998.9569892473119,64.1236559139785
civic,43504.38556933484,2011.5197294250281,144374.7519729425,1669.0293122886133,140.58962795941375
cl-klasa,124878.3717948718,2008.2435897435898,140997.64102564103,5548.025641025641,457.20512820512823
cla-klasa,150998.17191283294,2018.2421307506054,61382.939467312346,1782.273607748184,210.2905569007264
clio,32588.027006751687,2014.4493623405851,108876.36984246061,1213.8439609902475,86.50937734433609
clk-klasa,42280.59210526316,2006.328947368421,215583.80263157896,2661.342105263158,209.48684210526315
cls-klasa,172855.1923076923,2012.6508875739646,140947.8047337278,3644.266272189349,334.6656804733728
clubman,84207.68589743589,2015.6923076923076,94935.14743589744,1708.1089743589744,149.42948717948718
colt,12041.454022988506,2007.9942528735633,164167.05747126436,1329.3620689655172,94.32758620689656
combo,48808.638655462186,2015.3529411764705,137434.7394957983,1408.6050420168067,100.38655462184875
cooper,61574.07720588235,2013.5073529411766,100869.01470588235,1556.577205882353,134.01470588235293
cooper-s,74027.06435643564,2014.1287128712872,93854.06930693069,1801.9752475247524,183.14851485148515
corolla,75123.15957446808,2017.3770685579195,74815.26359338062,1607.8652482269504,122.15602836879432
corolla-verso,19574.63888888889,2006.712962962963,210139.7685185185,1909.8055555555557,132.7685185185185
corsa,29675.097014925374,2013.2657864523537,121382.58151549942,1269.1607347876004,85.96670493685419
countryman,87654.68586387434,2015.6910994764398,88662.74345549739,1685.6335078534032,152.92670157068062
cr-v,82602.78444084279,2013.7244732576985,130654.98379254458,1959.967585089141,152.46191247974068
crafter,184892.25,2018.03125,120885.625,2031.625,154.65625
crossland-x,81539.51219512195,2020.4146341463415,23648.1393728223,1240.8885017421603,111.75261324041811
cruze,25220.709677419356,2011.5443548387098,168255.71774193548,1773.5766129032259,137.19758064516128
cx-3,75075.11336032388,2017.3562753036438,68963.45748987854,1938.3117408906883,127.1497975708502
cx-30,122443.90425531915,2020.6063829787233,12868.521276595744,2003.563829787234,155.19148936170214
cx-5,97953.4746716698,2017.1369606003752,91146.91744840525,2200.013133208255,172.3658536585366
cx-7,30091.433333333334,2008.7666666666667,216190.5,2249.7,226.23333333333332
cx-9,81456.796875,2014.296875,124018.5,3278.203125,265.0
doblo,46911.21965317919,2014.606936416185,147653.0809248555,1545.635838150289,103.09826589595376
ds3,28849.379032258064,2012.717741935484,125424.12096774194,1503.7983870967741,123.10483870967742
ds4,38683.10526315789,2013.5473684210526,146306.2210526316,1627.4315789473685,135.49473684210525
ds5,44909.03157894737,2013.8,169527.4,1885.6105263157895,157.90526315789472
e-klasa,142037.05654174884,2014.1972386587772,151455.45693622617,2467.6193293885603,230.31886916502302
eclipse-cross,151318.525,2020.225,19272.941666666666,2040.9333333333334,149.04166666666666
ecosport,73486.98648648648,2018.9504504504505,40315.69369369369,1104.0,125.07207207207207
edge,108952.625,2017.7,79420.84375,2197.3625,240.09375
elantra,86446.82113821138,2019.6097560975609,33840.47967479675,1597.560975609756,124.8780487804878
enyaq,244570.53125,2021.65625,607.46875,0.0,205.03125
eos,23389.71875,2007.9375,187938.0625,1858.59375,151.0625
escape,68564.312,2017.304,75277.616,1817.68,211.368
espace,55403.39160839161,2012.6818181818182,184491.2062937063,1826.090909090909,163.15034965034965
exeo,24938.41304347826,2010.3369565217392,200036.72826086957,1871.0217391304348,142.15217391304347
expert,69053.20338983051,2015.8474576271187,174836.89830508476,1782.3389830508474,124.47457627118644
explorer,216797.92727272728,2018.2727272727273,75679.83636363636,3162.4727272727273,337.5272727272727
f150,137148.44642857142,2015.1785714285713,129574.60714285714,4353.464285714285,371.26785714285717
fabia,35789.140167364014,2015.1115760111577,125415.04881450489,1182.8884239888423,84.75732217573221
fiesta,26671.245176848875,2012.3818327974277,131521.94051446946,1273.6993569131832,86.40353697749197
fluence,26099.354838709678,2012.4354838709678,162037.75806451612,1581.4032258064517,109.83870967741936
focus,37926.83771380893,2013.252816020025,159129.13308302045,1577.2052565707133,126.49812265331664
focus-c-max,15365.75,2007.1041666666667,213701.98958333334,1728.4791666666667,116.32291666666667
fox,7720.015625,2007.09375,158896.53125,1208.0625,56.65625
freemont,48778.33766233766,2013.1493506493507,185170.0,2124.474025974026,174.45454545454547
fusion,41461.99408284024,2013.4082840236686,136954.5976331361,1817.8757396449705,164.97633136094674
g-klasa,632825.5753424658,2016.4794520547946,60448.97260273973,4322.780821917808,479.06849315068496
galaxy,46990.70703125,2011.32421875,216789.984375,1961.09765625,150.06640625
giulia,189916.8401826484,2020.0913242009133,22782.680365296805,2079.648401826484,276.31963470319636
giulietta,38184.333333333336,2013.0277777777778,155025.39814814815,1578.0462962962963,140.97222222222223
gl-klasa,117763.90425531915,2011.1063829787233,195284.5744680851,3763.0425531914893,305.29787234042556
gla-klasa,126265.37155963303,2017.6926605504586,64518.71100917431,1802.1009174311926,196.4908256880734
glb-klasa,225919.25,2021.34375,7049.484375,1721.828125,199.125
glc-klasa,219047.84219269102,2019.1976744186047,49639.882059800664,2152.094684385382,218.2059800664452
gle-klasa,337593.70673076925,2019.53125,45626.70913461538,2729.0889423076924,307.7644230769231
glk-klasa,67269.28571428571,2011.3333333333333,210910.6507936508,2567.3968253968255,209.5079365079365
gls-klasa,413940.3015873016,2018.8095238095239,62659.76190476191,3442.3809523809523,376.46031746031747
golf,53433.78525382756,2013.684528605963,146912.6450443191,1616.158340048348,133.57453666398067
golf-plus,21435.41739130435,2008.0666666666666,192576.73623188405,1592.8057971014493,107.74782608695652
golf-sportsvan,60596.336842105266,2016.042105263158,105053.05263157895,1465.3578947368421,126.38947368421053
grand-c-max,37845.57324840764,2013.3566878980891,169317.21656050955,1598.1401273885351,128.81528662420382
grand-espace,25770.032786885247,2009.5409836065573,243528.29508196723,2095.2295081967213,164.18032786885246
grand-scenic,37068.54878048781,2012.5040650406504,171395.40650406503,1597.418699186992,126.21544715447155
grande-punto,12280.607287449393,2008.2307692307693,181853.27935222673,1339.2874493927125,80.7327935222672
grandland-x,118804.68161434977,2020.3677130044844,33112.224215246635,1339.0224215246637,142.34080717488789
hr-v,111755.5472636816,2019.2935323383085,36822.019900497515,1524.9203980099503,118.75621890547264
